Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ANKH	gene	ANKH	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Chondrocalcinosis 2 118600;Craniometaphyseal dysplasia 123000						False	3	75;25;0	7.5	False		ENSG00000154122	ENSG00000154122	HGNC:15492													
ANKRD11	gene	ANKRD11	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KBG syndrome 148050						False	3	67;33;0	7.5	False		ENSG00000167522	ENSG00000167522	HGNC:21316													
ANO5	gene	ANO5	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Gnathodiaphyseal dysplasia OMIM:166260;gnathodiaphyseal dysplasia MONDO:0008151;Osteogenesis Imperfecta and Decreased Bone Density;skeletal dysplasias;skeletal dysplasias;Disproportionate Short Stature				15124103;23047743;32112655		False	3	100;0;0	7.5	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000171714	ENSG00000171714	HGNC:27337													
ANTXR2	gene	ANTXR2	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Hyaline fibromatosis syndrome 228600						False	3	67;33;0	7.5	False		ENSG00000163297	ENSG00000163297	HGNC:21732													
ARCN1	gene	ARCN1	Expert Review Green;Literature	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, OMIM:617164				27476655;31075182;33154040		False	3	100;0;0	7.5	False		ENSG00000095139	ENSG00000095139	HGNC:649													
ARHGAP31	gene	ARHGAP31	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Adams-Oliver syndrome 1 100300				29924900;21565291		False	3	67;33;0	7.5	False		ENSG00000031081	ENSG00000031081	HGNC:29216													
ARL6	gene	ARL6	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 3 600151				15258860;15314642;19858128		False	3	0;0;0	7.5	False		ENSG00000113966	ENSG00000113966	HGNC:13210													
ARSB	gene	ARSB	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Mucopolysaccharidosis type VI (Maroteaux-Lamy)	 253200;Mucopolysaccharidosis type VI (Maroteaux-Lamy) 253200"						False	3	67;33;0	7.5	False		ENSG00000113273	ENSG00000113273	HGNC:714													
ARSE	gene	ARSE	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	CDPXL;Chondrodysplasia punctata, X-linked recessive, 302950;CHONDRODYSPLASIA PUNCTATA 1, X-LINKED;X-linked recessive chondrodysplasia punctata						False	3	67;33;0	7.5	False		ENSG00000157399	ENSG00000157399	HGNC:719													
ASXL1	gene	ASXL1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Bohring-Opitz syndrome 605039						False	3	33;33;33	7.5	False		ENSG00000171456	ENSG00000171456	HGNC:18318													
ASXL2	gene	ASXL2	Expert Review Green;Literature;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Shashi-Pena syndrome 617190;Shashi-Pena syndrome	617190"				27693232		False	3	67;33;0	7.5	False		ENSG00000143970	ENSG00000143970	HGNC:23805													
ATP6V0A2	gene	ATP6V0A2	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Cutis laxa, autosomal recessive, type IIA 219200;Cutis laxa, autosomal recessive, type IIA	219200"						False	3	67;33;0	7.5	False		ENSG00000185344	ENSG00000185344	HGNC:18481													
ATP7A	gene	ATP7A	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Spinal muscular atrophy, distal, 300489;Menkes disease 309400;Occipital horn syndrome 304150						False	3	67;33;0	7.5	False		ENSG00000165240	ENSG00000165240	HGNC:869													
AXIN1	gene	AXIN1	Expert Review Green;Literature;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome, MONDO:0018681				37582359		False	3	100;0;0	7.5	False		ENSG00000103126	ENSG00000103126	HGNC:903													
B3GALT6	gene	B3GALT6	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, progeroid type, 2 615349;Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures 271640						False	3	67;33;0	7.5	False		ENSG00000176022	ENSG00000176022	HGNC:17978													
B3GAT3	gene	B3GAT3	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects, 245600;Larsen alike phenotype  (skd incl)						False	3	67;33;0	7.5	False		ENSG00000149541	ENSG00000149541	HGNC:923													
B3GLCT	gene	B3GLCT	Expert Review;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Peters-plus syndrome 261540;O-fucose-specific beta-1,3-N-glucosyltransferase deficiency (Disorders of protein O-glycosylation, O-mannosylglycan synthesis deficiencies)				16909395;23889335		False	3	100;0;0	7.5	False		ENSG00000187676	ENSG00000187676	HGNC:20207													
B4GALT7	gene	B4GALT7	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome with short stature and limb anomalies 130070						False	3	67;33;0	7.5	False		ENSG00000027847	ENSG00000027847	HGNC:930													
BBS1	gene	BBS1	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854				12118255;12567324;12677556;12524598;23143442;11567139		False	3	0;0;0	7.5	False		ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet Biedl syndrome 10, 615987						False	3	0;0;0	7.5	False		ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet Biedl syndrome 12, 615989						False	3	0;0;0	7.5	False		ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 2, 615981						False	3	0;0;0	7.5	False		ENSG00000125124	ENSG00000125124	HGNC:967													
BBS4	gene	BBS4	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 4, 615982						False	3	0;0;0	7.5	False		ENSG00000140463	ENSG00000140463	HGNC:969													
BBS5	gene	BBS5	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet Biedl syndrome 5, 615983						False	3	0;0;0	7.5	False		ENSG00000163093	ENSG00000163093	HGNC:970													
BBS7	gene	BBS7	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 7, 615984						False	3	0;0;0	7.5	False		ENSG00000138686	ENSG00000138686	HGNC:18758													
BBS9	gene	BBS9	Emory Genetics Laboratory;Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet Biedl syndrome 9, 615986						False	3	0;0;0	7.5	False		ENSG00000122507	ENSG00000122507	HGNC:30000													
BHLHA9	gene	BHLHA9	Expert list;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Syndactyly, mesoaxial synostotic, with phalangeal reduction 609432						False	3	67;33;0	7.5	False		ENSG00000205899	ENSG00000205899	HGNC:35126													
BMP1	gene	BMP1	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Osteogenesis imperfecta, type XIII, 614856						False	3	67;33;0	7.5	False		ENSG00000168487	ENSG00000168487	HGNC:1067													
BMP2	gene	BMP2	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	short stature, facial dysmorphism and skeletal anomalies with or without cardiac aomalies 617877.;Brachydactyly, type A2 112600;{HFE hemochromatosis, modifier of} 235200				19327734;21357617;29198724		False	3	75;25;0	7.5	False		ENSG00000125845	ENSG00000125845	HGNC:1069													
BMPER	gene	BMPER	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Diaphanospondylodysostosis 608022						False	3	67;33;0	7.5	False		ENSG00000164619	ENSG00000164619	HGNC:24154													
BMPR1B	gene	BMPR1B	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Acromesomelic dysplasia, Demirhan type, OMIM:609441;Brachydactyly, type A1, D, OMIM:616849;Brachydactyly, type A2, OMIM:112600						False	3	67;33;0	7.5	False		ENSG00000138696	ENSG00000138696	HGNC:1077													
C21orf2	gene	C21orf2	Expert list;Expert Review Green;Literature;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Spondylometaphyseal dysplasia, axial 602271;Axial Spondylometaphyseal Dysplasia 602271				26974433		False	3	67;33;0	7.5	False		ENSG00000160226	ENSG00000160226	HGNC:1260													
C2CD3	gene	C2CD3	Expert list;Expert Review Green;NHS GMS;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Orofaciodigital syndrome XIV 615948						False	3	67;33;0	7.5	False		ENSG00000168014	ENSG00000168014	HGNC:24564													
CA2	gene	CA2	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis 259730						False	3	75;25;0	7.5	False		ENSG00000104267	ENSG00000104267	HGNC:1373													
CANT1	gene	CANT1	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Desbuquois dysplasia 1 251450;multiple epiphyseal dysplasia type 7, 617719.						False	3	67;33;0	7.5	False		ENSG00000171302	ENSG00000171302	HGNC:19721													
CASR	gene	CASR	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypocalcemia, autosomal dominant 601198;Hypocalciuric hypercalcemia, type I 145980;Hyperparathyroidism, neonatal 239200;Hypocalcemia, autosomal dominant, with Bartter syndrome 601198						False	3	67;33;0	7.5	False		ENSG00000036828	ENSG00000036828	HGNC:1514													
CBFB	gene	CBFB	Expert Review Green;Literature;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cleidocranial dysplasia 2, OMIM:620099;cleidocranial dysplasia 2, MONDO:0859307				36241386		False	3	100;0;0	7.5	False		ENSG00000067955	ENSG00000067955	HGNC:1539													
CC2D2A	gene	CC2D2A	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Meckel syndrome 6 612284				23351400;24706459;18513680		False	3	67;33;0	7.5	False		ENSG00000048342	ENSG00000048342	HGNC:29253													
CCDC8	gene	CCDC8	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	3-M syndrome 3, 614205				21737058		False	3	67;33;0	7.5	False		ENSG00000169515	ENSG00000169515	HGNC:25367													
CDC45	gene	CDC45	Expert list;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Craniosynostosis (Wilkie) (from Ana Beleza);Meier-Gorlin syndrome with craniosynostosis (from PMID 27374770)				27374770		False	3	67;33;0	7.5	False		ENSG00000093009	ENSG00000093009	HGNC:1739													
CDH3	gene	CDH3	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Ectodermal dysplasia, ectrodactyly, and macular dystrophy 225280				15805154;22140374		False	3	67;33;0	7.5	False		ENSG00000062038	ENSG00000062038	HGNC:1762													
CDKN1C	gene	CDKN1C	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)	IMAGE syndrome 614732						False	3	67;33;0	7.5	False		ENSG00000129757	ENSG00000129757	HGNC:1786													
CDT1	gene	CDT1	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Meier-Gorlin syndrome 4, OMIM:613804						False	3	67;33;0	7.5	False		ENSG00000167513	ENSG00000167513	HGNC:24576													
CEP120	gene	CEP120	Expert list;Expert Review Green;NHS GMS;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 213300;Short-rib thoracic dysplasia 13 with or without polydactyly 616300				27208211		False	3	67;33;0	7.5	False		ENSG00000168944	ENSG00000168944	HGNC:26690													
CEP290	gene	CEP290	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Meckel syndrome 4 611134;Senior-Loken syndrome 6 610189;Joubert syndrome 5 610188;Bardet-Biedl syndrome 14 615991;Leber congenital amaurosis 10						False	3	67;33;0	7.5	False		ENSG00000198707	ENSG00000198707	HGNC:29021													
CHST14	gene	CHST14	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, musculocontractural type 1 601776						False	3	67;33;0	7.5	False		ENSG00000169105	ENSG00000169105	HGNC:24464													
CHST3	gene	CHST3	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Spondyloepiphyseal dysplasia with congenital joint dislocations (recessive Larsen syndrome) 143095						False	3	67;33;0	7.5	False		ENSG00000122863	ENSG00000122863	HGNC:1971													
CHSY1	gene	CHSY1	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Temtamy preaxial brachydactyly syndrome 605282						False	3	67;33;0	7.5	False		ENSG00000131873	ENSG00000131873	HGNC:17198													
CLCN5	gene	CLCN5	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis 308990;Dent disease 300009;Nephrolithiasis, type I 310468;Hypophosphatemic rickets 300554						False	3	67;33;0	7.5	False		ENSG00000171365	ENSG00000171365	HGNC:2023													
CLCN7	gene	CLCN7	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 4, OMIM:611490;Osteopetrosis, autosomal dominant 2, OMIM:166600						False	3	75;25;0	7.5	False		ENSG00000103249	ENSG00000103249	HGNC:2025													
