Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AGA	gene	AGA	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Aspartylglucosaminuria 208400 (Patients may be tall for their age, but lack of a growth spurt in puberty typically causes adults to be short)			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000038002	ENSG00000038002	HGNC:318													
AGPS	gene	AGPS	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Foundation Trust)	Rhizomelic chondrodysplasia punctata, type 3 600121;Rhizomelic chondrodysplasia punctata, type 3 600121"			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000018510	ENSG00000018510	HGNC:327													
ALG12	gene	ALG12	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ig 607143			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000182858	ENSG00000182858	HGNC:19358													
ALG3	gene	ALG3	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Id 601110			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000214160	ENSG00000214160	HGNC:23056													
ALG9	gene	ALG9	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Gillessen-Kaesbach-Nishimura syndrome	263210;Congenital disorder of glycosylation, type Il 608776;Gillessen-Kaesbach-Nishimura syndrome 263210"			Skeletal dysplasia;HP:0002652	25966638		False	3	100;0;0	0.298	False		ENSG00000086848	ENSG00000086848	HGNC:15672													
ALPL	gene	ALPL	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Hypophosphatasia, adult 146300 (AD, AR);Hypophosphatasia, childhood 241510 AR;Hypophosphatasia, infantile 241500 AR;Odontohypophosphatasia 146300 AD, AR			Skeletal dysplasia;HP:0002652	3174660;1409720;19500388;23688511;31413732;30811537		False	3	100;0;0	0.298	True		ENSG00000162551	ENSG00000162551	HGNC:438													
ALX1	gene	ALX1	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Frontonasal dysplasia 3 613456;Frontonasal dysplasia type 3 613456			Skeletal dysplasia;HP:0002652	20451171;27324866		False	3	100;0;0	0.298	False		ENSG00000180318	ENSG00000180318	HGNC:1494													
ALX3	gene	ALX3	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Frontonasal dysplasia 1 136760;Frontonasal dysplasia 1 136760 (frontorhiny)			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000156150	ENSG00000156150	HGNC:449													
ALX4	gene	ALX4	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Frontonasal dysplasia 2 613451			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000052850	ENSG00000052850	HGNC:450													
AMER1	gene	AMER1	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	"Osteopathia striata with cranial sclerosis	300373;Osteopathia striata with cranial sclerosis 300373"			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000184675	ENSG00000184675	HGNC:26837													
ANKH	gene	ANKH	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Chondrocalcinosis 2 118600;Craniometaphyseal dysplasia 123000			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000154122	ENSG00000154122	HGNC:15492													
ANKRD11	gene	ANKRD11	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KBG syndrome 148050			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000167522	ENSG00000167522	HGNC:21316													
ANO5	gene	ANO5	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Disproportionate Short Stature;Osteogenesis Imperfecta and Decreased Bone Density;Gnatodiaphyseal dysplasia;skeletal dysplasias			Skeletal dysplasia;HP:0002652	28176803;32112655		False	3	100;0;0	0.298	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000171714	ENSG00000171714	HGNC:27337													
ANTXR2	gene	ANTXR2	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Hyaline fibromatosis syndrome 228600			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000163297	ENSG00000163297	HGNC:21732													
ARHGAP31	gene	ARHGAP31	Emory Genetics Laboratory;Expert list;Expert Review Green;Genetic Health Queensland;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Adams-Oliver syndrome 1 100300			Skeletal dysplasia;HP:0002652	21565291;29924900		False	3	50;50;0	0.298	False		ENSG00000031081	ENSG00000031081	HGNC:29216													
ARID1A	gene	ARID1A	Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Coffin-Siris			Skeletal dysplasia;HP:0002652	22426308;23929686;32888375		False	3	100;0;0	0.298	True		ENSG00000117713	ENSG00000117713	HGNC:11110													
ARID1B	gene	ARID1B	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Coffin-Siris syndrome type 1 - 135900;Coffin-Siris			Skeletal dysplasia;HP:0002652	22426308;23929686;34122524		False	3	100;0;0	0.298	True		ENSG00000049618	ENSG00000049618	HGNC:18040													
ARL6	gene	ARL6	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 3 600151			Skeletal dysplasia;HP:0002652	19858128;15314642;15258860		False	3	100;0;0	0.298	False		ENSG00000113966	ENSG00000113966	HGNC:13210													
ARSB	gene	ARSB	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Mucopolysaccharidosis type VI (Maroteaux-Lamy), MIM# 253200;MONDO:0009661			Skeletal dysplasia;HP:0002652	11668612		False	3	100;0;0	0.298	True		ENSG00000113273	ENSG00000113273	HGNC:714													
ARSE	gene	ARSE	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	CHONDRODYSPLASIA PUNCTATA 1, X-LINKED;X-linked recessive chondrodysplasia punctata;Chondrodysplasia punctata, X-linked recessive, 302950;CDPXL			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000157399	ENSG00000157399	HGNC:719													
ARSK	gene	ARSK	Expert Review Green;Literature	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Mucopolysaccharidosis MONDO:0019249, ARSK-related			Skeletal dysplasia;HP:0002652	34916232;32856704		False	3	100;0;0	0.298	False		ENSG00000164291	ENSG00000164291	HGNC:25239													
ASXL1	gene	ASXL1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Bohring-Opitz syndrome 605039			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000171456	ENSG00000171456	HGNC:18318													
ASXL2	gene	ASXL2	Expert Review Green;Literature;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Shashi-Pena syndrome 617190;Shashi-Pena syndrome	617190"			Skeletal dysplasia;HP:0002652	27693232		False	3	100;0;0	0.298	False		ENSG00000143970	ENSG00000143970	HGNC:23805													
ATP6V0A2	gene	ATP6V0A2	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Cutis laxa, autosomal recessive, type IIA 219200;Cutis laxa, autosomal recessive, type IIA	219200"			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000185344	ENSG00000185344	HGNC:18481													
ATP7A	gene	ATP7A	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Spinal muscular atrophy, distal, 300489;Menkes disease 309400;Occipital horn syndrome 304150			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000165240	ENSG00000165240	HGNC:869													
AXIN1	gene	AXIN1	Expert Review Green;Literature	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Craniometadiaphyseal osteosclerosis with hip dysplasia, MIM# 620558			Skeletal dysplasia;HP:0002652	PMID: 37582359		False	3	100;0;0	0.298	True		ENSG00000103126	ENSG00000103126	HGNC:903													
B3GALT6	gene	B3GALT6	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, progeroid type, 2 615349;Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures 271640			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000176022	ENSG00000176022	HGNC:17978													
B3GAT3	gene	B3GAT3	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Larsen alike phenotype  (skd incl);Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects, 245600			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000149541	ENSG00000149541	HGNC:923													
B3GLCT	gene	B3GLCT	Expert Review;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Peters-plus syndrome 261540;O-fucose-specific beta-1,3-N-glucosyltransferase deficiency (Disorders of protein O-glycosylation, O-mannosylglycan synthesis deficiencies)			Skeletal dysplasia;HP:0002652	23889335;16909395		False	3	100;0;0	0.298	False		ENSG00000187676	ENSG00000187676	HGNC:20207													
B4GALT7	gene	B4GALT7	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome with short stature and limb anomalies 130070			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000027847	ENSG00000027847	HGNC:930													
BBS1	gene	BBS1	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 1 209900			Skeletal dysplasia;HP:0002652	11567139;12118255;12677556;12567324;12524598;23143442		False	3	100;0;0	0.298	False		ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 10, 615987;Polydactyly			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 12, 615989;Polydactyly			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet-Biedl syndrome 2, 615981			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000125124	ENSG00000125124	HGNC:967													
BBS4	gene	BBS4	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 4, 615982;Polydactyly			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000140463	ENSG00000140463	HGNC:969													
BBS5	gene	BBS5	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet Biedl syndrome 5, 615983			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000163093	ENSG00000163093	HGNC:970													
BBS7	gene	BBS7	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 7, 615984;Polydactyly			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000138686	ENSG00000138686	HGNC:18758													
BBS9	gene	BBS9	Emory Genetics Laboratory;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Polydactyly;Bardet Biedl syndrome 9, 615986			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000122507	ENSG00000122507	HGNC:30000													
BGN	gene	BGN	Expert list;Expert Review Green;Literature	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Spondyloepimetaphyseal dysplasia, X-linked - MIM# 300106			Skeletal dysplasia;HP:0002652	27236923		False	3	100;0;0	0.298	True		ENSG00000182492	ENSG00000182492	HGNC:1044													
BHLHA9	gene	BHLHA9	Expert list;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Syndactyly, mesoaxial synostotic, with phalangeal reduction 609432			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000205899	ENSG00000205899	HGNC:35126													
BMP1	gene	BMP1	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Osteogenesis imperfecta, type XIII, 614856			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000168487	ENSG00000168487	HGNC:1067													
BMP2	gene	BMP2	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	{HFE hemochromatosis, modifier of} 235200;short stature, facial dysmorphism and skeletal anomalies with or without cardiac aomalies 617877.;Brachydactyly, type A2 112600			Skeletal dysplasia;HP:0002652	19327734;29198724;21357617		False	3	100;0;0	0.298	False		ENSG00000125845	ENSG00000125845	HGNC:1069													
BMPER	gene	BMPER	Expert list;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Diaphanospondylodysostosis 608022			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000164619	ENSG00000164619	HGNC:24154													
BMPR1B	gene	BMPR1B	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Brachydactyly, type A1, D 616849;Acromesomelic dysplasia, Demirhan type 609441;Brachydactyly, type A2 112600			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000138696	ENSG00000138696	HGNC:1077													
C21orf2	gene	C21orf2	Expert list;Expert Review Green;Literature;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Axial Spondylometaphyseal Dysplasia 602271;Spondylometaphyseal dysplasia, axial 602271			Skeletal dysplasia;HP:0002652	26974433		False	3	100;0;0	0.298	False		ENSG00000160226	ENSG00000160226	HGNC:1260													
C2CD3	gene	C2CD3	Expert list;Expert Review Green;NHS GMS;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Orofaciodigital syndrome XIV 615948			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000168014	ENSG00000168014	HGNC:24564													
CA2	gene	CA2	Expert list;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis 259730			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000104267	ENSG00000104267	HGNC:1373													
CANT1	gene	CANT1	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	multiple epiphyseal dysplasia type 7, 617719.;Desbuquois dysplasia 1 251450			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000171302	ENSG00000171302	HGNC:19721													
CASR	gene	CASR	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypocalcemia, autosomal dominant, with Bartter syndrome 601198;Hypocalcemia, autosomal dominant 601198;Hyperparathyroidism, neonatal 239200;Hypocalciuric hypercalcemia, type I 145980			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000036828	ENSG00000036828	HGNC:1514													
CBFB	gene	CBFB	Expert Review Green;Literature	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	cleidocranial dysplasia (MONDO#0007340), CBFB-related			Skeletal dysplasia;HP:0002652	36241386		False	3	100;0;0	0.298	True		ENSG00000067955	ENSG00000067955	HGNC:1539													
CC2D2A	gene	CC2D2A	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Meckel syndrome 6 612284			Skeletal dysplasia;HP:0002652	24706459;18513680;23351400		False	3	100;0;0	0.298	False		ENSG00000048342	ENSG00000048342	HGNC:29253													
